mes,descricao,valor
2025-11,1.1.1 Taxa de Condominio,84284.9
2025-11,1.1.1 Taxa de Condominio (venc. 10 /2025),10094.0
2025-11,1.1.5 Taxa de Água,17681.46
2025-11,1.1.5 Taxa de Água (venc. 10 /2025),1919.84
2025-11,1.1.8 Encargos de Cobrança,271.51
2025-11,1.1.8 Encargos de Cobrança (venc. 10 /2025),168.32
2025-11,1.1.14 Homologação Acordo Extrajudicial,3649.48
2025-11,1.1.14 Homologação Acordo Extrajudicial (venc. 10 /2025),1951.17
2025-11,1.1.14 Homologação Acordo Extrajudicial (venc. 9 /2025),445.27
2025-11,1.1.15 Honorarios Advocatícios (venc. 10 /2025),118.92
2025-11,1.1.20 Multas Juros e Correções,416.34
2025-11,1.1.20 Multas Juros e Correções (venc. 10 /2025),442.88
2025-11,1.1.29 Atualização Monetária,11.83
2025-11,1.1.29 Atualização Monetária (venc. 10 /2025),7.09
2025-11,1.1.29 Atualização Monetária (venc. 9 /2025),1.22
2025-11,1.2.1 Taxas Fundo de Reserva,4215.08
2025-11,1.2.1 Taxas Fundo de Reserva (venc. 10 /2025),504.8
2025-11,1.2.3 Taxas Extras Sinalização viária - Parc. 4/18 (venc. 10 /2025),619.2
2025-11,1.2.3 Taxas Extras Sinalização viária - Parc. 5/18,5170.32
2025-11,1.2.18 Mercado Mini facil (Lucien),1420.7
2025-11,1.2.51 Feira,35.0
2025-11,1.2.51 Feira Elisete,735.0
2025-11,1.4.1 Rendimento de Aplicação,554.53
2025-11,2.4.1 Portaria Vigilância e Controle Acesso Investimento equipamentos ref. 10/2025,2300.0
2025-11,2.4.1 Portaria Vigilância e Controle Acesso Ref. 10/2025,45833.03
2025-11,2.4.5 Auxiliar de Manutenção Limpeza e jardinagem ref. 10/2025,18571.88
2025-11,2.4.7 Serviços de Administração de Condomínio 1º parc. 13º,2100.0
2025-11,2.4.7 Serviços de Administração de Condomínio Ref. 10/2025,4200.0
2025-11,"2.4.19 Contratos - Manutenção Elétrica Manutenção elétrica, portaria e controle de acesso",1280.0
2025-11,2.4.21 Remuneração Síndico Ref. 10/2025,4200.0
