mes,data,descricao,valor,saldo
2025-11,03/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.55,104353.29
2025-11,03/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.55,104677.84
2025-11,03/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.55,105002.39
2025-11,03/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.55,105326.94
2025-11,03/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,427.71,105754.65
2025-11,03/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,4200.0,101554.65
2025-11,03/11/25,Despesas Bancarias DÉBITO PACOTE SERVIÇOS Unidade XXX,44.74,101509.91
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.65,101834.56
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.65,102159.21
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,365.05,102524.26
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,391.4,102915.66
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,408.02,103323.68
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,200.0,103123.68
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,601.36,102522.32
2025-11,04/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,4200.0,98322.32
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.95,98647.27
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.95,98972.22
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.95,99297.17
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.95,99622.12
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,324.95,99947.07
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,356.2,100303.27
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,356.2,100659.47
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,1117.57,101777.04
2025-11,05/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,100.0,101677.04
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,160.0,101517.04
2025-11,05/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,202.84,101314.2
2025-11,06/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.05,101639.25
2025-11,06/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.05,101964.3
2025-11,06/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,343.86,102308.16
2025-11,06/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,370.58,102678.74
2025-11,07/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.15,103003.89
2025-11,07/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.15,103329.04
2025-11,07/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.15,103654.19
2025-11,07/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,350.2,104004.39
2025-11,07/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,2780.99,101223.4
2025-11,10/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.25,84463.05
2025-11,10/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.25,84788.3
2025-11,10/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.25,85113.55
2025-11,10/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.25,85438.8
2025-11,10/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,337.0,85775.8
2025-11,11/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.35,86005.15
2025-11,11/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.35,86330.5
2025-11,11/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,356.64,86687.14
2025-11,12/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.65,87012.79
2025-11,12/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,331.87,87344.66
2025-11,12/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,363.99,87708.65
2025-11,12/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,172.64,87536.01
2025-11,13/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,155.5,87380.51
2025-11,13/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,347.9,87032.61
2025-11,13/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,1144.62,85887.99
2025-11,13/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,2758.85,83129.14
2025-11,13/11/25,FORNECEDOR / PRESTADOR DE SERVIÇOS,5850.0,77279.14
2025-11,13/11/25,Feira C,35.0,77314.14
2025-11,14/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,325.85,77639.99
2025-11,14/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,4950.0,72689.99
2025-11,14/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,1420.7,74110.69
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,276.45,74387.14
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,74704.27
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,75021.4
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,75338.53
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,75655.66
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,75972.79
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,76289.92
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,76607.05
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,76924.18
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,77241.31
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,77558.44
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,77875.57
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,78192.7
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,78509.83
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,78826.96
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,79144.09
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,79461.22
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,79778.35
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,80095.48
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,80412.61
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,80729.74
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,81046.87
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,81364.0
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,81681.13
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,81998.26
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,82315.39
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,82632.52
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,82949.65
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,83266.78
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,83583.91
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,83901.04
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,84218.17
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,84535.3
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,84852.43
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,85169.56
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,317.13,85486.69
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,323.23,85809.92
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,323.23,86133.15
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,323.23,86456.38
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,329.33,86785.71
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,335.43,87121.14
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,335.43,87456.57
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,335.43,87792.0
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,335.43,88127.43
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,335.43,88462.86
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,341.53,88804.39
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,347.63,89152.02
2025-11,17/11/25,MOVIMENTAÇÃO PESSOA FÍSICA,347.63,89499.65
